地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),國立,567861,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),市立,6377582,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),私立,7897295,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_經常支出,625847,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_經常支出,5843026,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_經常支出,5394177,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_資本支出,56807,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_資本支出,548172,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_資本支出,2351428,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_償還借款,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_償還借款,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_償還借款,1128788,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_經常支出報廢金額,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_經常支出報廢金額,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_經常支出報廢金額,5267246,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_折舊、折耗及攤銷,62753,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_折舊、折耗及攤銷,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_折舊、折耗及攤銷,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),國立,763944,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),市立,6578314,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),私立,8451112,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_經常支出,685547,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_經常支出,5906149,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_經常支出,5289654,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_資本支出,55671,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_資本支出,211923,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_資本支出,2095701,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_償還借款,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_償還借款,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_償還借款,1439771,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_經常支出報廢金額,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_經常支出報廢金額,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
